Time (s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),Acceleration (m/s^2),Velocity(Accelerometer)(m/s),DifferentialPressure(Pitot)(Pa),Temperature (K),AtmosphericPressure (hPa),Altitude(m)
2595438,10.67,-0.31,3.1,11.11,28835316.18,3443.9,22.09,1020.9,-10.28
2596437,10.71,-0.31,3.14,11.16,28976236.92,3411.32,22.09,1020.9,-10.26
2597435,10.67,-0.27,3.18,11.14,28935425.900000002,3422.18,22.1,1020.9,-10.28
2598434,10.67,-0.27,3.22,11.15,28972539.1,3433.04,22.1,1020.9,-10.26
2599433,10.59,-0.35,3.14,11.05,28723734.650000002,3433.04,22.1,1020.9,-10.23
2600431,10.63,-0.27,3.06,11.07,28786771.17,3411.32,22.1,1020.9,-10.25
2601430,10.67,-0.31,3.14,11.13,28953915.900000002,3433.04,22.1,1020.9,-10.25
2602428,10.63,-0.27,3.14,11.09,28860926.52,3411.32,22.1,1020.91,-10.3
2603427,10.67,-0.31,3.14,11.13,28976142.51,3400.46,22.1,1020.9,-10.28
2604426,10.71,-0.35,3.14,11.16,29065394.16,3400.46,22.1,1020.9,-10.28
2605424,10.67,-0.31,3.1,11.11,28946260.639999997,3367.87,22.1,1020.9,-10.28
2606423,10.16,0.04,4.0,10.92,28462139.16,3433.04,22.1,1020.9,-10.28
2607421,1.33,-1.1,11.26,11.39,29698525.19,3443.9,22.1,1020.91,-10.3
2608420,0.31,-1.37,11.26,11.35,29605567.0,3454.76,22.1,1020.91,-10.3
2609419,8.79,-0.94,7.34,11.48,29956130.12,3400.46,22.1,1020.9,-10.29
2610417,9.69,-0.47,6.16,11.49,29993691.330000002,3433.04,22.1,1020.91,-10.32
2611416,9.85,-0.39,5.77,11.42,29822370.72,3411.32,22.1,1020.91,-10.32
2612415,9.92,-0.31,5.49,11.35,29650910.25,3400.46,22.1,1020.91,-10.32
2613413,9.96,-0.27,5.41,11.34,29636103.419999998,3411.32,22.1,1020.9,-10.29
2614412,9.92,-0.27,5.49,11.35,29673576.2,3422.18,22.11,1020.91,-10.31
2615410,9.92,-0.27,5.49,11.35,29684903.5,3367.87,22.11,1020.91,-10.3
2616409,10.0,-0.27,5.33,11.34,29670078.06,3433.04,22.11,1020.9,-10.29
2617408,10.0,-0.27,5.3,11.32,29629058.560000002,3433.04,22.11,1020.9,-10.29
2618406,9.41,-2.79,3.45,10.41,27257606.46,3411.32,22.11,1020.9,-10.28
2619405,9.89,-3.88,4.35,11.48,30070769.400000002,3411.32,22.11,1020.9,-10.29
2620404,10.51,0.47,3.18,10.99,28798239.96,3422.18,22.11,1020.91,-10.32
2621402,13.02,3.53,2.82,13.79,36149133.58,3411.32,22.11,1020.91,-10.34
2622401,10.71,1.22,4.47,11.67,30603419.669999998,3465.62,22.11,1020.91,-10.34
2623399,10.43,0.27,3.14,10.9,28595049.1,3443.9,22.12,1020.91,-10.38
2624398,10.55,-0.35,3.41,11.1,29130817.8,3476.49,22.12,1020.91,-10.36
2625397,10.59,-0.35,3.49,11.16,29299430.52,3411.32,22.12,1020.91,-10.35
2626395,10.59,-0.39,3.53,11.17,29336832.15,3400.46,22.12,1020.92,-10.4
2627394,10.55,-0.35,3.53,11.13,29242895.220000003,3433.04,22.12,1020.92,-10.38
2628393,10.59,-0.35,3.57,11.18,29385433.74,3443.9,22.12,1020.91,-10.37
