Time (s),Time (ms),DifferentialPressure(Pitot)(Pa),Temperature 1 (C),AtmosphericPressure (hPa),Altitude(m),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),PitotVelocity (m/s),AltitudeVelocity (m/s)
12,12415,551.0,20.57,1009.74,86.36,-0.04,-0.43,11.3,2.8700311770786664,0
13,12924,550.0,20.57,1009.75,86.34,-0.04,-0.47,11.26,0.0,-3.92927308447859e-05
13,13433,552.0,20.57,1009.75,86.34,-0.08,-0.47,11.26,4.058816732905488,0.0
14,13942,552.0,20.57,1009.75,86.34,-0.04,-0.43,11.26,4.058816732905488,0.0
14,14451,550.0,20.57,1009.75,86.34,-0.08,-0.47,11.3,0.0,0.0
15,14960,552.0,20.57,1009.74,86.36,-0.04,-0.47,11.34,4.058837015058268,3.92927308447859e-05
15,15469,552.0,20.57,1009.75,86.34,-0.04,-0.47,11.3,4.058816732905488,-3.92927308447859e-05
16,15978,552.0,20.57,1009.75,86.33,-0.08,-0.39,11.3,4.058816732905488,-1.9646365422406908e-05
16,16487,553.0,20.58,1009.75,86.28,-0.08,-0.39,11.3,4.971113616248866,-9.82318271119787e-05
17,16996,553.0,20.58,1009.75,86.3,-0.04,-0.47,11.34,4.971113616248866,3.92927308447859e-05
18,17505,551.0,20.58,1009.75,86.28,-0.24,-0.71,11.34,2.8700737845134965,-3.92927308447859e-05
18,18014,553.0,20.58,1009.76,86.27,4.55,0.04,10.51,4.97108877552566,-1.9646365422406908e-05
19,18524,551.0,20.58,1009.76,86.27,4.47,0.04,10.59,2.870059442715267,0.0
19,19033,552.0,20.58,1009.75,86.28,4.12,0.0,10.79,4.058897271070462,1.9646365422406908e-05
20,19542,552.0,20.58,1009.76,86.26,1.8,0.24,11.34,4.058876988704898,-3.92927308447859e-05
20,20051,551.0,20.58,1009.75,86.29,1.02,3.49,10.63,2.8700737845134965,5.8939096267192805e-05
21,20560,552.0,20.58,1009.75,86.3,0.94,3.41,10.67,4.058897271070462,1.964636542237899e-05
21,21069,552.0,20.58,1009.75,86.32,1.41,3.37,10.67,4.058897271070462,3.92927308447859e-05
22,21578,552.0,20.58,1009.75,86.3,5.26,2.9,9.73,4.058897271070462,-3.92927308447859e-05
22,22087,553.0,20.58,1009.75,86.31,4.9,2.94,9.85,4.971113616248866,1.9646365422406908e-05
23,22596,551.0,20.58,1009.75,86.3,1.06,1.53,10.98,2.8700737845134965,-1.9646365422406908e-05
23,23105,552.0,20.58,1009.75,86.31,-0.94,-0.12,11.34,4.058897271070462,1.9646365422406908e-05
24,23614,552.0,20.58,1009.75,86.28,-5.33,-1.18,9.38,4.058897271070462,-5.8939096267192805e-05
24,24123,553.0,20.58,1009.75,86.29,-5.33,-1.26,9.41,4.971113616248866,1.9646365422406908e-05
25,24632,552.0,20.58,1009.75,86.31,-2.24,-4.55,9.96,4.058897271070462,3.92927308447859e-05
25,25141,552.0,20.58,1009.75,86.31,-0.59,-3.92,10.55,4.058897271070462,0.0
26,25650,551.0,20.58,1009.75,86.29,0.08,-0.04,11.26,2.8700737845134965,-3.92927308447859e-05
26,26159,551.0,20.58,1009.75,86.29,-0.12,-0.43,11.3,2.8700737845134965,0.0
27,26668,551.0,20.58,1009.75,86.3,-0.04,-0.43,11.34,2.8700737845134965,1.964636542237899e-05
27,27178,552.0,20.58,1009.75,86.32,-0.08,-0.39,11.34,4.058897271070462,3.9215686274502e-05
28,27687,551.0,20.58,1009.75,86.32,-0.08,-0.43,11.3,2.8700737845134965,0.0
28,28196,552.0,20.59,1009.75,86.3,-0.08,-0.47,11.3,4.058977814712966,-3.92927308447859e-05
29,28705,550.0,20.59,1009.75,86.31,-0.08,-0.43,11.26,0.0,1.9646365422406908e-05
29,29214,552.0,20.59,1009.75,86.31,-0.08,-0.43,11.26,4.058977814712966,0.0
30,29723,552.0,20.59,1009.75,86.32,-0.04,-0.39,11.26,4.058977814712966,1.964636542237899e-05
30,30232,553.0,20.59,1009.75,86.35,-0.08,-0.39,11.22,4.971212261661945,5.8939096267192805e-05
31,30741,552.0,20.59,1009.75,86.34,-0.04,-0.43,11.34,4.058977814712966,-1.964636542237899e-05
31,31250,552.0,20.59,1009.75,86.32,-0.08,-0.39,11.22,4.058977814712966,-3.9292730844813815e-05
